,Tagetes coronopifolia,Stevia sp.,Sabazia humilis,Muhlenbergia macroura,Bouvardia teniflora,Stevia serrata,Stevia ovata,Bidens odorata,Rumex acetosella,Barckleyanthus salicifolius,Bidens triplinervia,Lupinus elegans,Dysphania graveolens,Piptochaetium sp.,Galinsoga parviflora,Dalea sericea,Paronychia mexicana,Tinantia erecta,Bidens anthemoides,Muhlenbergia sp.1,Commelina sp.,Apiaceae,Oxalis corniculata,Simsia amplexicoulis,Fuertesimalva limensis,Ageratina,Trifolium repens,Geranium seemannii,Eleocharis sp.,Pasto mata,Helianthemum glomeratum,Bromus diandrus,Verbenaceae sp.,Aristida sp.,Cenchrus clandestinus,Conyza sp.,Cyclospermun leptophyllum,Sisyrinchium sp.,Suelo desnudo,Drymaria sp.,Eryngium carlinae,Argemone platyceras,Drymaria effusa,Italenia brevicornis,Muhlenbergia dubia,Plantago sp.,Viola sp.,Scleranthus annuus,Drymaria sp,Stellaria cuspidata,Gamochaeta americana
Claro7,30,0,15,0,10,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,90,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0
Claro8,20,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,7,0,0,0,0,30,0,0,0,0,0,0,0,92,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Claro9,12,0,20,0,0,0,0,0,0,0,0,15,0,0,0,20,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,94,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
Claro10,25,0,25,0,0,0,0,0,0,0,0,15,0,0,0,20,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Claro11,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,0,0,15,0,1,0,0,30,0,0,0,0,0,0,0,85,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0
Claro12,12,0,35,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,0,0,20,0,0,0,0,35,0,0,0,0,0,0,0,92,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Claro13,0,30,0,45,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,10,0,0,0,15,0,5,0,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Claro14,0,0,0,0,0,0,45,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,5,0,0,0,0,50,10,5,0,0,0,0,0,0,0,10,0,0
Claro15,0,28,1,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,3,25,5,0,0,0,0,0,0,0,0,5,0,0
Claro16,5,0,60,0,0,0,0,0,0,15,0,0,0,5,0,10,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
